song_title,artist_name,viral_probability,verdict,confidence,listeners,plays
Christmas (Baby Please Come Home),Darlene Love,0.9852516158018029,🔥 HIGH BREAKTHROUGH POTENTIAL,Strong,903923,5160431
SUBWAY SURFERS (Main Theme),Subway Surfers,0.97899003375223,🔥 HIGH BREAKTHROUGH POTENTIAL,Strong,59320,363162
Ramalama (Bang Bang),Róisín Murphy,0.9136715207073581,🔥 HIGH BREAKTHROUGH POTENTIAL,Strong,809401,22838661
APT.,ROSÉ & Bruno Mars,0.8295931520456621,🔥 HIGH BREAKTHROUGH POTENTIAL,Strong,33528,555095
Wie?,AYLIVA,0.020568207660027277,❄️  LOW BREAKTHROUGH POTENTIAL,Low,88353,5771864
Azizam (feat. Ed Sheeran),LATWOGANG,0.01040981588419474,❄️  LOW BREAKTHROUGH POTENTIAL,Low,10487,62416
ACELERADA,sma$her & MXZI,0.01040981588419474,❄️  LOW BREAKTHROUGH POTENTIAL,Low,451,4133
36°,Zsá Zsá & Replay Okay,0.01040981588419474,❄️  LOW BREAKTHROUGH POTENTIAL,Low,82,869
Melodrama,disiz & Theodora,0.01040981588419474,❄️  LOW BREAKTHROUGH POTENTIAL,Low,271,3420
Cadelinha De Madame (Remix),Zé da Vea,0.01040981588419474,❄️  LOW BREAKTHROUGH POTENTIAL,Low,3457,17353
Mysterious and Sad,Beats by Lucky,0.01040981588419474,❄️  LOW BREAKTHROUGH POTENTIAL,Low,894,4736
Drip a noleggio,JOEJOE,0.01040981588419474,❄️  LOW BREAKTHROUGH POTENTIAL,Low,3116,19818
Xanthia,Ghetto Queen,0.01040981588419474,❄️  LOW BREAKTHROUGH POTENTIAL,Low,1763,35739
Shiny,Easykid & Dysbit,0.01040981588419474,❄️  LOW BREAKTHROUGH POTENTIAL,Low,360,13143
