video_id,description,likes,views,comments,shares,engagement_rate,song_title,artist_name,music_id,lastfm_link,lastfm_album,listeners,playcount,tags,audio_features
7549906269524462870,#lamiastoriatraledita #behindthesong #newmusic #fy #livemusic @gianlucagrignani ,20600,326000,1521,659,0.0699,La Mia Storia Tra Le Dita,Matteo Bocelli & Gianluca Grignani,7540736023271770128,https://www.last.fm/music/Matteo+Bocelli+&+Gianluca+Grignani/_/La+Mia+Storia+Tra+Le+Dita,La Mia Storia Tra Le Dita,10,266,[],
7566715368379518230,ad easy halloween scar makeup hack🩸 @nyxcosmetics_uk I know that’s bright eyeshadow palette  @L'Oréa,129600,10800000,361,22700,0.0141,Special Valentine,Pasrah Instrumental,7176855926069823490,https://www.last.fm/music/Pasrah+Instrumental/_/Special+Valentine,Special Valentine - Single,48,236,[],
7560737505461472534,#dancetrends2025 #fyp #friends #duo #foryoupage @𝓴𝓲𝓽𝓽𝔂 💋 @Dixie ,151200,2400000,1209,8823,0.0672,VALET,DeeOrSlim,7525934058832956182,https://www.last.fm/music/DeeOrSlim/_/Valet,Unknown,10165,78949,[],
7536388860276690207,Going from black to a soft brown with blonde highlights 🤎  #colorcorection #haircolorist #charlotten,49100,930000,81,3717,0.0569,All That Glitters,Earl,6705021632777291778,https://www.last.fm/music/Earl/_/All+That+Glitters,Tongue Tied,31012,180569,[],
7538513952557518102,A mini one for each handbag 🥹 SO CUTE #spacenk #restock #shopping #beauty #london @SPACE NK ,18600,235600,83,310,0.0806,A Summer Place,Hollywood Strings Orchestra,7062752064783026178,https://www.last.fm/music/Hollywood+Strings+Orchestra/_/A+Summer+Place,Instrumental Music Ballroom Dance,7216,35239,[],
7567077944137354518,HAHAHAHAHHA @Lena & Jule Wenn ihr auf dem Geburtstag dabei sein wollt dann schreibt & folgt mir gern,183300,2300000,634,463,0.0802,A Moment Apart,ODESZA,6741079271860602881,https://www.last.fm/music/ODESZA/_/A+Moment+Apart,A Moment Apart,237209,2299370,[],
7567113950618324254,found the CUTEST decor🥹🎄🎅🏼🦌☃️ #christmas #christmasdecor #hobbylobby #fyp #viral ,54800,316900,331,500,0.1755,Christmas (Baby Please Come Home),Darlene Love,7014250805079312386,https://www.last.fm/music/Darlene+Love/_/Christmas+(Baby+Please+Come+Home),A Christmas Gift for You From Phil Spector,693621,2687035,[],
7557820617219755286,"Domknięcie to nie jest coś, co dostajemy od innych, a coś co dajemy sobie sami. #myślnadziś #relacje",69600,753000,430,5360,0.1001,Lullaby for Erik,Evgeny Grinko,6906124553827649537,https://www.last.fm/music/Evgeny+Grinko/_/Lullaby+for+Erik,Lullabies,47569,199984,[],
7567141466330385695,New series?🤔🤍 Love the bob so much. Shoutout to @ellie ✨,404900,3300000,2080,2270,0.124,A Couple Minutes,Olivia Dean,7553863604693944336,https://www.last.fm/music/Olivia+Dean/_/A+Couple+Minutes,The Art of Loving,146648,690139,[],
7559282575072709910,,78700,496700,195,1608,0.1621,AVTLR,TKS 2G,7548952531825854465,https://www.last.fm/music/TKS+2G/_/AVTLR,Unknown,1013,4685,[],
7558214664774012182,Shinyyy x2,372500,3900000,925,10300,0.0984,Shiny,Easykid & Dysbit,7510347800124016656,https://www.last.fm/music/Easykid+&+Dysbit/_/Shiny,Unknown,28,96,[],
7546577203740396822,#barista #baristaditiktok ,51200,2500000,735,4724,0.0227,Noi Veniamo Dalla Calabria,Funny Music Channel,7527461069011388432,https://www.last.fm/music/Funny+Music+Channel/_/Noi+Veniamo+Dalla+Calabria,Noi Veniamo Dalla Calabria,501,1405,[],
7545949870226525462,Move over Lambo Ferrari’s 🐎got this #ferrari #488 #v8 ,10800,265900,474,1265,0.0472,No Broke Boys,Disco Lines & Tinashe,7506941925636524842,https://www.last.fm/music/Disco+Lines+&+Tinashe/_/No+Broke+Boys,Today’s Hits: September 2025,3478,27818,[],
7566801043170856247,I ain't a killer but don't push me 😉❤️ #ootn ,35500,425400,820,357,0.0862,Lovin On Me,Jack Harlow,7293284592491023135,https://www.last.fm/music/Jack+Harlow/_/Lovin+on+Me,Lovin on Me,649164,6109562,"['rap', 'pop rap', 'us number one', 'hip hop', 'Hip-Hop']",
7540744768993758470,Choose ?  #girls #friends #trend ,26200,316800,1762,4131,0.1013,Toma Que Toma Perreo,DJ Hazel Mty,7163865722555205634,https://www.last.fm/music/Dj+Hazel+Mty/_/Toma+Que+Toma+Perreo,Toma Que Toma Perreo - Single,547,1443,[],
7536244702690037014,Mi historia entre tus dedos The video – out now on YouTube @gianlucagrignani #matteobocelli #gianluc,31600,400100,1408,1376,0.0859,Mi Historia Entre Tus Dedos,Matteo Bocelli & Gianluca Grignani,7528073000757086224,https://www.last.fm/music/Matteo+Bocelli+&+Gianluca+Grignani/_/Mi+Historia+Entre+Tus+Dedos,Falling In Love,21,33,[],
7561454696230161686,Coraline’s other father is starving 😳🤯 #coraline #theory,25900,592800,108,1146,0.0458,"Spooky, quiet, scary atmosphere piano songs",Skittlegirl Sound,6817208513685620738,"https://www.last.fm/music/Skittlegirl+Sound/_/Spooky,+quiet,+scary+atmosphere+piano+Songs",Unknown,4,6,[],
7565142312330841366,Makes sense ✨ @boysonvacation,4419,264400,41,607,0.0192,I Like Ur Look,Kim Petras,7554597128837056529,https://www.last.fm/music/Kim+Petras/_/I+Like+Ur+Look,I Like Ur Look,46622,392011,[],
7549700033826786566,se joga #policia #fantasia #explorar #rels ,26100,334700,899,614,0.0825,Piririm Pom Pom - Ao Vivo,Latitude 10,6763828703873992706,https://www.last.fm/music/Latitude+10/_/Piririm+Pom+Pom+-+Ao+Vivo,Unknown,1761,4782,[],
7567107821691555094,"Ich bekomme kaum noch Luft, oh mein Gott 😳 Halloween rückt immer näher 😱 #viral #halloween ",80300,1500000,821,464,0.0544,Mysterious and Sad,Beats by Lucky,7361039820154341392,https://www.last.fm/music/Beats+by+Lucky/_/Mysterious+and+Sad,Unknown,2,4,[],
7552461901674974486,Bye Bye Taff 2025-2012 🧡🧡🧡,46800,837000,126,192,0.0563,Bye Bye Baby,Bay City Rollers,6701923660988434434,https://www.last.fm/music/Bay+City+Rollers/_/Bye+Bye+Baby,The Definitive 70's,121267,533287,[],
7537029218593508630,"Hay una cosa que yo no te he dicho aún Que mis problemas, ¿sabes qué?, se llaman “tú” Solo por eso, ",15000,204400,962,555,0.0808,Mi Historia Entre Tus Dedos,Matteo Bocelli & Gianluca Grignani,7528073000757086224,https://www.last.fm/music/Matteo+Bocelli+&+Gianluca+Grignani/_/Mi+Historia+Entre+Tus+Dedos,Falling In Love,21,33,[],
7567092261033413908,Idols meet their Idols #foryou #foryoupage #kpop #illit #lesserafim ,1400000,7900000,1169,17500,0.1796,XOXZ,IVE,7540596493637732368,https://www.last.fm/music/IVE/_/XOXZ,IVE SECRET,118765,1515758,"['k-pop', 'fuck starship', 'disband kiiikiii', 'Korean', 'Kpop']",
7561275199274962184,2020 huzz bait @alejandro ,187400,11100000,1507,2969,0.0173,Wet (She Got That…) [Slowed & Reverbed],YFN Lucci,6828238914092944133,https://www.last.fm/music/YFN+Lucci/_/Wet+(She+Got+That%E2%80%A6)+%5BSlowed+&+Reverbed%5D,Wet (She Got That…) [Slowed & Reverbed] [Explicit],38,228,[],
7556747422878240022,feiertag special mit @Riton 🤙🏻,360700,3700000,1616,69300,0.1167,Heut ist wieder Freitag!,DEICHBRECHER,7416099404228119328,https://www.last.fm/music/DEICHBRECHER/_/Heut+ist+wieder+Freitag%21,Unknown,814,2348,[],
7558483881255505174,The real villain of Coraline? 😳🤯 #coraline #theory,131200,1500000,614,10700,0.095,"Spooky, quiet, scary atmosphere piano songs",Skittlegirl Sound,6817208513685620738,"https://www.last.fm/music/Skittlegirl+Sound/_/Spooky,+quiet,+scary+atmosphere+piano+Songs",Unknown,4,6,[],
7547431092941327647,He'll always catch her 🥰 #stunts #cheer #bonde #delaney #delaneyandbonde ,45100,882100,109,137,0.0514,"I'm Not Lucky, I'm Blessed",Love & The Outcome,7044017412311615490,"https://www.last.fm/music/Love+&+The+Outcome/_/I%27m+Not+Lucky,+I%27m+Blessed",Only Ever Always,661,2792,[],
7561538552820010295,"wake up new snippet unlocked, 🪟 ",397500,2300000,6927,31700,0.1896,Out The Window,Kehlani,7561538573578275598,https://www.last.fm/music/Kehlani/_/Out+The+Window,Unknown,1,1,[],
7564368375137176854,Ils peuvent pas nous blairer #fyp #pourtoi @claryssepereira ,180000,1100000,264,2158,0.1658,Psycho - A Suite for Strings: The Knife,Esa-Pekka Salonen,6705996281451382786,https://www.last.fm/music/Esa-Pekka+Salonen/_/Psycho+-+A+Suite+for+Strings:+The+Knife,Herrmann - The Film Scores,2,4,[],
7566947339651304722,Muah Muah Muah 💋  #fayeperaya 🌻💛,260100,1100000,5279,13400,0.2534,Likey Likey,Young Miko,7561919192438573073,https://www.last.fm/music/Young+Miko/_/Likey+Likey,Unknown,7236,26681,[],
